Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F2000004,ΚΑΦΕΣ ESPRESSO ILLY ΣΠΥΡΙ 3KG,Kilogram,36.080 ,
F2000001,ΚΑΦΕΣ NESCAFE DECAFFEINE (200G),Packet,3.000 ,
F2000032,ΚΑΦΕΣ NESCAFE ΧΥΜΑ (2.75KG),Packet,1.850 ,
F2000025,ΚΑΦΕΣ NESPRESSO ΤΑΜΠΛΕΤΑ DECAFEINATO PRO (R2),Piece,100.000 ,
F20000211,ΚΑΦΕΣ NESPRESSO ΤΑΜΠΛΕΤΑ FORTE PRO (N4 R2),Piece,"1,200.000 ",
F2000031,ΚΑΦΕΣ ΓΑΛΛΙΚΟΣ JACOBS KRONUNG,Kilogram,9.230 ,
F2000055,ΚΑΦΕΣ ΕΛΛΗΝΙΚΟΣ ΛΟΥΜΙΔΗ (500G),Packet,9.500 ,
F20000194,ΚΑΦΕΣ ΦΙΛΤΡΟΥ SEMPREVIVO (500G),Packet,6.000 ,
F2000144,ΣΟΚΟΛΑΤΑ ΡΟΦΗΜΑ ΖΕΣΤΗ CHOCOLANELLE 1KG,Kilogram,6.496 ,
F20000303,ΤΑΜΠΛΕΤΑ ΕΚΤΥΠΩΣΗΣ COFFEE BASED BROWN RIPPLE (45ML),Piece,2.000 ,
F20000304,ΤΑΜΠΛΕΤΑ ΕΚΤΥΠΩΣΗΣ COFFEE BASED CHAMELEON CABBAGE RIPPLE (45ML),Piece,1.000 ,
F20100469,ΤΣΑΙ KUSMI  4 RED FRUITS BIO (100G),Packet,2.000 ,
F20000197,ΤΣΑΙ KUSMI ANASTASIA EXCLUSIVE BLEND BIO TEA (100G),Packet,2.000 ,
F2010389,ΤΣΑΙ KUSMI AQUA EXOTICA (125G),Packet,3.000 ,
F2010390,ΤΣΑΙ KUSMI AQUAROSA 1KG,Kilogram,0.850 ,
F20100473,ΤΣΑΙ KUSMI AQUAROSA ΒΙΟ (100G),Packet,1.000 ,
F20100470,ΤΣΑΙ KUSMI BE COOL WELLNESS BIO (90G),Packet,4.000 ,
F20100474,ΤΣΑΙ KUSMI BLUE DETOX (125G),Packet,1.000 ,
F2010400,ΤΣΑΙ KUSMI BOOST (125G),Packet,1.000 ,
F20100475,ΤΣΑΙ KUSMI DETOX ΒΙΟ (100G),Packet,2.000 ,
F2010386,ΤΣΑΙ KUSMI JASMINE GREEN (125G),Packet,3.000 ,
F2010384,ΤΣΑΙ KUSMI LABEL IMPERIAL GREEN (125G),Packet,2.000 ,
F2010383,ΤΣΑΙ KUSMI ROSE GREEN (125G),Packet,1.000 ,
F2010058,ΤΣΑΙ LOOSE TEA PURE CAMOMILE (100G),Packet,5.400 ,
F2010059,ΤΣΑΙ LOOSE TEA VERBENA,Packet,1.000 ,
F20000291,ΤΣΑΙ MATCHA-GREEN TEA POWDER GLOBE GOURMET (1KG),Packet,1.000 ,
F20100641,ΤΣΑΙ ΚΡΥΟ THAMMA BIO LEMON MOUNTAIN TEA (CRETAN HONEY & DITTANY) (12*300ML),Bottles,24.000 ,
F20100643,ΤΣΑΙ ΚΡΥΟ THAMMA BIO PEACH BLACK TEA (ELDERFLOWER) (12*300ML),Bottles,18.000 ,
F20100654,ΤΣΑΙ ΣΕ ΠΕΡΛΕΣ ΣΟΚΟΛΑΤΑ BUBBLE TEA FROZENBAR (3.4KG),Container,1.000 ,
F20100655,ΤΣΑΙ ΣΕ ΠΕΡΛΕΣ ΦΡΑΟΥΛΑ BUBBLE TEA FROZENBAR (3.4KG),Container,1.000 ,
