Κωδικός,Περιγραφή,Μονάδα,Quantity,category
F16400588,ΠΑΓΩΤΟ ΚΑΡΑΜΕΛΑ PRIMA KAYAK (2.5KG),Container,1,F164 ICE CREAM
F16400650,ΠΑΓΩΤΟ ΚΑΡΑΜΕΛΑ ΔΕΛΤΑ (5L),Container,0.3,F164 ICE CREAM
F1640105,ΠΑΓΩΤΟ ΚΥΠΕΛΛΟ ΒΑΝΙΛΙΑ CHOCOCREAM COOKIES KAYAK (107ML),CUP,40,F164 ICE CREAM
F1640106,ΠΑΓΩΤΟ ΚΥΠΕΛΛΟ ΒΑΝΙΛΙΑ ΜΑΔΑΓΑΣΚΑΡΗΣ KAYAK (107ML),CUP,40,F164 ICE CREAM
F1640108,ΠΑΓΩΤΟ ΚΥΠΕΛΛΟ ΣΟΚΟΛΑΤΑ BELGIAN CHOCO CHIPS  KAYAK (107ML),CUP,40,F164 ICE CREAM
F1640331,ΠΑΓΩΤΟ ΜΠΑΝΑΝΑ KAYAK (3KG),Kilogram,3,F164 ICE CREAM
F16400651,ΠΑΓΩΤΟ ΜΠΑΝΑΝΑ ΔΕΛΤΑ (5L),Container,1,F164 ICE CREAM
F1640237,ΠΑΓΩΤΟ ΣΟΚΟΛΑΤΑ KAYAK (3KG),Kilogram,8.1,F164 ICE CREAM
F1640359,ΠΑΓΩΤΟ ΦΡΑΟΥΛΑ KAYAK (3KG),Kilogram,6,F164 ICE CREAM
F2000035,ΚΑΦΕΣ ESPRESSO ILLY ΑΛΕΣΜΕΝΟΣ DECAFFEINE (250G),Container,10,F200 COFEE & CHOCOLATE
F2000004,ΚΑΦΕΣ ESPRESSO ILLY ΣΠΥΡΙ 3KG,Kilogram,36.08,F200 COFEE & CHOCOLATE
F2000001,ΚΑΦΕΣ NESCAFE DECAFFEINE (200G),Packet,3,F200 COFEE & CHOCOLATE
F2000032,ΚΑΦΕΣ NESCAFE ΧΥΜΑ (2.75KG),Packet,1.85,F200 COFEE & CHOCOLATE
F2000025,ΚΑΦΕΣ NESPRESSO ΤΑΜΠΛΕΤΑ DECAFEINATO PRO (R2),Piece,100,F200 COFEE & CHOCOLATE
F20000211,ΚΑΦΕΣ NESPRESSO ΤΑΜΠΛΕΤΑ FORTE PRO (N4 R2),Piece,"1,200.00",F200 COFEE & CHOCOLATE
F2000031,ΚΑΦΕΣ ΓΑΛΛΙΚΟΣ JACOBS KRONUNG,Kilogram,9.23,F200 COFEE & CHOCOLATE
F2000055,ΚΑΦΕΣ ΕΛΛΗΝΙΚΟΣ ΛΟΥΜΙΔΗ (500G),Packet,9.5,F200 COFEE & CHOCOLATE
F20000194,ΚΑΦΕΣ ΦΙΛΤΡΟΥ SEMPREVIVO (500G),Packet,6,F200 COFEE & CHOCOLATE
F2000144,ΣΟΚΟΛΑΤΑ ΡΟΦΗΜΑ ΖΕΣΤΗ CHOCOLANELLE 1KG,Kilogram,6.496,F200 COFEE & CHOCOLATE
F20000303,ΤΑΜΠΛΕΤΑ ΕΚΤΥΠΩΣΗΣ COFFEE BASED BROWN RIPPLE (45ML),Piece,2,F200 COFEE & CHOCOLATE
F20000304,ΤΑΜΠΛΕΤΑ ΕΚΤΥΠΩΣΗΣ COFFEE BASED CHAMELEON CABBAGE RIPPLE (45ML),Piece,1,F200 COFEE & CHOCOLATE
F20100469,ΤΣΑΙ KUSMI  4 RED FRUITS BIO (100G),Packet,2,F201 TEA
F20000197,ΤΣΑΙ KUSMI ANASTASIA EXCLUSIVE BLEND BIO TEA (100G),Packet,2,F201 TEA
F2010389,ΤΣΑΙ KUSMI AQUA EXOTICA (125G),Packet,3,F201 TEA
F2010390,ΤΣΑΙ KUSMI AQUAROSA 1KG,Kilogram,0.85,F201 TEA
F20100473,ΤΣΑΙ KUSMI AQUAROSA ΒΙΟ (100G),Packet,1,F201 TEA
F20100470,ΤΣΑΙ KUSMI BE COOL WELLNESS BIO (90G),Packet,4,F201 TEA
F20100474,ΤΣΑΙ KUSMI BLUE DETOX (125G),Packet,1,F201 TEA
F2010400,ΤΣΑΙ KUSMI BOOST (125G),Packet,1,F201 TEA
F20100475,ΤΣΑΙ KUSMI DETOX ΒΙΟ (100G),Packet,2,F201 TEA
F2010386,ΤΣΑΙ KUSMI JASMINE GREEN (125G),Packet,3,F201 TEA
F2010384,ΤΣΑΙ KUSMI LABEL IMPERIAL GREEN (125G),Packet,2,F201 TEA
F2010383,ΤΣΑΙ KUSMI ROSE GREEN (125G),Packet,1,F201 TEA
F2010058,ΤΣΑΙ LOOSE TEA PURE CAMOMILE (100G),Packet,5.4,F201 TEA
F2010059,ΤΣΑΙ LOOSE TEA VERBENA,Packet,1,F201 TEA
F20000291,ΤΣΑΙ MATCHA-GREEN TEA POWDER GLOBE GOURMET (1KG),Packet,1,F201 TEA
F20100641,ΤΣΑΙ ΚΡΥΟ THAMMA BIO LEMON MOUNTAIN TEA (CRETAN HONEY & DITTANY) (12*300ML),Bottles,24,F201 TEA
F20100643,ΤΣΑΙ ΚΡΥΟ THAMMA BIO PEACH BLACK TEA (ELDERFLOWER) (12*300ML),Bottles,18,F201 TEA
F20100654,ΤΣΑΙ ΣΕ ΠΕΡΛΕΣ ΣΟΚΟΛΑΤΑ BUBBLE TEA FROZENBAR (3.4KG),Container,1,F201 TEA
F20100655,ΤΣΑΙ ΣΕ ΠΕΡΛΕΣ ΦΡΑΟΥΛΑ BUBBLE TEA FROZENBAR (3.4KG),Container,1,F201 TEA
F2010192,ΤΣΑΙ ΤΟΥ ΒΟΥΝΟΥ (100G),Packet,1.9,F201 TEA
F2010072,ΤΣΑΙ ΤΟΥ ΒΟΥΝΟΥ ΑΠΟΞΗΡΑΜΕΝΟ ΧΥΜΑ,Kilogram,0.32,F201 TEA
F2100030,COCA COLA KOYTI (24*330ML),CAN,72,F210 SOFT DRINKS
F2100020,COCA COLA LIGHT ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,31,F210 SOFT DRINKS
F2100039,COCA COLA LIGHT ΚΟΥΤΙ (24*330ML),CAN,72,F210 SOFT DRINKS
F2100021,COCA COLA ZERO ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,145,F210 SOFT DRINKS
F2100016,COCA COLA ZERO ΚΟΥΤΙ (24*330ML),CAN,72,F210 SOFT DRINKS
F2100019,COCA COLA ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,63,F210 SOFT DRINKS
F2100035,FANTA ΛΕΜΟΝΙ ΕΠΙΣΤΡΕΦΟΜΕΝΗ ΦΙΑΛΗ (24*250ML),Bottles,44,F210 SOFT DRINKS
