Κωδικός,Περιγραφή,Μονάδα,Quantity,category
F28500052,TEQUILA PATRON SILVER (700ML),Bottles,1.1,F285 TEQUILA
F28500061,ΤΕΚΙΛΑ CLASE AZUL PLATA (700ML),Bottles,1,F285 TEQUILA
F28600027,FLUERE CANE 0% (700ML),Bottles,1,F286 RTDS
F28600028,FLUERE RASPBERRY 0% (700ML),Bottles,1,F286 RTDS
F28600030,FLUERE SMOKED AGAVE 0% (275ML),Bottles,1,F286 RTDS
F2700202,SEEDLIP GROVE 72 (700ML),Bottles,0.3,F286 RTDS
F2870056,ARMAGNAC LAUBADE 1981 (700ML),Bottles,0.3,F287 BRANDY
F28700087,BRANDY CHATEAU DE BORDENEUVE ARMAGNAC 1994 46.1% (700ML),Bottles,1,F287 BRANDY
F28700066,CALVADOS VIEUX MASSENEZ (700ML),Bottles,1,F287 BRANDY
F2870031,COGNAC PIERRE FERRAND AMBE SELECTION 30Y (700ML),Bottles,0.5,F287 BRANDY
F2870033,COURVOISIER VS (700ML),Bottles,0.7,F287 BRANDY
F2870004,HENNESSY VSOP 40% (700ML),Bottles,1.2,F287 BRANDY
F2870012,HENNESSY X.O. 40% (700ML),Bottles,1.3,F287 BRANDY
F2870007,METAXA 7* (700ML),Bottles,0.4,F287 BRANDY
F2870047,METAXA RESERVE 40% (700ML),Bottles,2.3,F287 BRANDY
F2870049,METAXA V.S.O.P. 12 Y.O. (700ML),Bottles,1,F287 BRANDY
F2870053,REMI MARTEN X.O. (700ML),Bottles,1,F287 BRANDY
F2870002,REMI MARTIN VSOP 40% (700ML),Bottles,1.5,F287 BRANDY
F3000008,ΑΝΘΡΑΚΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ (6KG),Container,4,F300 MISCELLANEOUS
F3000157,ΜΑΝΤΑΛΑΚΙ ΞΥΛΙΝΟ ΔΙΑΚΟΣΜΗΤΙΚΟ 100ΤΕΜ,Packet,1,F300 MISCELLANEOUS
F30000751,ΟΔΟΝΤΟΓΛΥΦΙΔΑ COCKTAIL BABOO ΜΕΓΑΛΗ ΜΕ ΦΙΟΓΚΑΚΙ 12CM*200ΤΕΜ,Packet,15,F300 MISCELLANEOUS
F3000673,ΟΔΟΝΤΟΓΛΥΦΙΔΑ COCKTAIL BABOO ΜΙΚΡΗ ΚΑΡΔΙΑ 9CM*100ΤΕΜ,Packet,0.7,F300 MISCELLANEOUS
F3000029,ΣΚΟΝΗ ΚΑΘΑΡΙΣΜΟΥ LACIP CM (450G),Container,1.2,F300 MISCELLANEOUS
F3000312,ΦΙΛΤΡΑ ΚΑΦΕ MR GRAND 40ΤΕΜ,Packet,3.1,F300 MISCELLANEOUS
F30001046,ΧΡΥΣΟ ΣΕ ΚΟΜΑΤΑΚΙΑ MALLARD FERRIERE (200G),Jar,1,F300 MISCELLANEOUS
F30200497,ΚΑΛΑΜΑΚΙΑ ΜΑΥΡΑ ΧΑΡΤΙΝΑ ΝΤΥΜΕΝΑ 1\1 FREDDO 18CM 500ΤΕΜ,Packet,4.5,F302 PAPER ITEMS
F30200499,ΚΑΛΑΜΑΚΙΑ ΜΑΥΡΑ ΧΑΡΤΙΝΑ ΝΤΥΜΕΝΑ 1\1 ΠΟΤΟΥ 21CM 500ΤΕΜ,Packet,6,F302 PAPER ITEMS
F30200639,ΚΑΛΑΜΑΚΙΑ ΧΑΡΤΙΝΑ ΓΙΑ BUBBLE TEA 200TEM,Packet,17,F302 PAPER ITEMS
F30200772,ΚΑΛΑΜΑΚΙΑ ΧΑΡΤΙΝΑ ΜΑΥΡΑ 21CM ΝΤΥΜΕΝΑ 1/1 ΓΡΑΝΙΤΑΣ (500ΤΕΜ),Packet,5,F302 PAPER ITEMS
F30200756,ΚΑΛΑΜΑΚΙΑ ΧΑΡΤΙΝΑ ΡΙΓΕ ΚΟΚΚΙΝΑ-ΑΣΠΡΑ 20CM (20ΤΕΜ),Packet,1,F302 PAPER ITEMS
F30200438,ΧΑΡΤΟΠΕΤΣΕΤΑ 24*24CM ΛΕΥΚΗ 2ΦΥΛΛΗ 500ΤΕΜ,Packet,3,F302 PAPER ITEMS
F30200652,ΧΑΡΤΟΠΕΤΣΕΤΑ 40*40CM DUNI BIO DUNISOFT AIRLAID QUALITY GREIGE  60ΤΕΜ,Packet,8,F302 PAPER ITEMS
F3020087,"ΧΕΙΡΟΠΕΤΣΕΤΑ TORK REFLEX WIPING PAPER PLUS 2ΦΥΛΛΟ 150,8M (BARS) (ΕΝΤΟΣ)",Piece,2,F302 PAPER ITEMS
F3020272,"ΧΕΙΡΟΠΕΤΣΕΤΑ ΡΟΛΟ TORK ADVANCED ΜΠΛΕ 21*24,5CM 612ΦΥΛΛΑ",Piece,2,F302 PAPER ITEMS
F3030307,ΓΑΝΤΙΑ ΝΙΤΡΙΛΙΟΥ ΜΑΥΡΑ LARGE 100ΤΕΜ,Packet,1,F303 PLASTIC ITEMS
F30300364,ΓΑΝΤΙΑ ΝΙΤΡΙΛΙΟΥ ΜΑΥΡΑ ΜEDIUM 100ΤΕΜ,Packet,2,F303 PLASTIC ITEMS
F3030101,ΜΕΜΒΡΑΝΗ 30CM 200M,Piece,2,F303 PLASTIC ITEMS
F30300517,ΣΑΚΟΥΛΑ ΒΙΟΔΙΑΣΠΩΜΕΝΗ ΑΠΟΡΡΙΜΜΑΤΩΝ STRONG 80*110CM ΦΥΣΙΚΟ ΧΡΩΜΑ 25MIC VARIO (ΡΟΛΟ 20ΤΕΜ),Piece,3,F303 PLASTIC ITEMS
F30300516,ΣΑΚΟΥΛΑ ΒΙΟΔΙΑΣΠΩΜΕΝΗ ΟΡΓΑΝΙΚΩΝ ΑΠΟΡΡΙΜΜΑΤΩΝ STRONG 70*110CM ΑΠΑΛΟ ΠΡΑΣΙΝΟ 25MIC VARIO (ΡΟΛΟ 25ΤΕΜ),Piece,3,F303 PLASTIC ITEMS
F3100199,VILEDA ΕΝΤΟΣ ΡΟΛΟ QUICK N DRY ΠΕΡΦΟΡΕ,Piece,2,F310 CLEANING TOOLS
F3100043,VILEDA ΕΝΤΟΣ ΣΠΟΓΓΟΣ ΕΠΑΓΓ/ΤΙΚΟΣ ΠΡΑΣΙΝΗ&ΜΠΕΖ ΦΙΜΠΡΑ 9*14cm,Piece,5,F310 CLEANING TOOLS
F31300145,ECOLAB ΕΝΤΟΣ ASSERT CLEAN ECOLABEL (KITCHEN) (2*5L),Container,1,F313 CHEMICAL CLEANING SUPPLIES
F31300226,ECOLAB ΕΝΤΟΣ TOPMATIC CLEAN ECOLABEL (KITCHEN) (4*5L),Container,1,F313 CHEMICAL CLEANING SUPPLIES
F31300227,ECOLAB ΕΝΤΟΣ TOPRINSE CLEAN ECOLABEL (KITCHEN) (2*5L),Container,0.5,F313 CHEMICAL CLEANING SUPPLIES
F3210010,ΠΡΟΠΑΝΙΟ (13L),Tank,2,F321 PROPANE
F3210005,ΦΙΑΛΑΚΙΑ ΥΓΡΑΕΡΙΟΥ (470ML),CAN,4,F321 PROPANE
F3220023,ΠΟΥΡΑ COHIBA CIGARILLOS,Piece,7,F322 CIGARS
F3220004,ΠΟΥΡΑ COHIBA ΝO 6 SIVLO,Piece,5,F322 CIGARS
F3220001,ΠΟΥΡΑ MONTECRISTO NO 2 TORPEDO,Piece,5,F322 CIGARS
F3220010,ΠΟΥΡΑ PARTAGAS SERIE D No4,Piece,7,F322 CIGARS
F3220020,ΠΟΥΡΑ ROMEO & JULIETA CIGARILLOS,Piece,9,F322 CIGARS
F32200050,ΠΟΥΡΑ ROMEO & JULIETA WIDE C CHURCHILL GRAN RESERVA,Piece,7,F322 CIGARS
F30000779,ΔΕΙΓΜΑΤΑ ΑΝΑΛΩΣΙΜΑ,Cost,0.81,F351 F&B EXPENSES
